Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
AIM,21/12/2005,01/12/2005,2005,IPO,,MWB BUSINESS EXCHANGE,New Company Placing,United Kingdom,581,Support Services,Business Support Services,80,,55.28,KBC Peel Hunt Limited,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,21/12/2005,01/12/2005,2005,IPO,,NETTWORX,New Company Placing,United Kingdom,879,Speciality & Other Finance,Other Financial,10,,11.1,Canaccord Adams Limited,10,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,21/12/2005,01/12/2005,2005,IPO,,GAS TURBINE EFFICIENCY,New Company Placing,United Kingdom,267,Engineering & Machinery,Engineering - General,30,,13.13,Libertas Capital Corporate Finance Limited,5.4,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,21/12/2005,01/12/2005,2005,IPO,,FRAMLINGTON AIM VCT 2,New Company Placing,United Kingdom,890,Investment Entities,Investment Entities,100,,2.02,,2.02,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,20/12/2005,01/12/2005,2005,IPO,,ABERDEEN ASIAN INCOME FUND,New Company Placing,United Kingdom,850,Investment Companies,Investment Companies,100,,112.2,,112.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/12/2005,01/12/2005,2005,IPO,,VIGILANT TECHNOLOGY,New Company Placing,Israel,253,Electronic & Electrical Equipment,Electronic Equipment,43,,24.32,Shore Capital & Corporate Limited,10,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,19/12/2005,01/12/2005,2005,IPO,,ECOSECURITIES GROUP,New Company Placing,Republic of Ireland,879,Speciality & Other Finance,Other Financial,150,,137.44,Hoare Govett Limited,54,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/12/2005,01/12/2005,2005,IPO,,LANCASHIRE HLDGS,New Company Placing,Bermuda,834,Insurance,Insurance - Non-Life,284,,555.83,Merrill Lynch International,546.74,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/12/2005,01/12/2005,2005,IPO,,XXI CENTURY INVESTMENTS,New Company Placing,Cyprus,862,Real Estate,Real Estate Holding & Development,586,,208.62,ING Bank N.V.,67.98,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/12/2005,01/12/2005,2005,IPO,,CARTUCHO GROUP,New Company Placing,United Kingdom,526,General Retailers,Retailers - Hardlines,20,,18,Colins Stewart Europe Limited,10,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/12/2005,01/12/2005,2005,IPO,,ZIRAX,New Company Placing,United Kingdom,118,Chemicals,Chemicals - Speciality,15,,25.85,Westhouse Securities LLP,7.75,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/12/2005,01/12/2005,2005,IPO,,PAN PACIFIC AGGREGATES,New Company Placing,United Kingdom,48,Mining,Other Mineral Extractors & Mines,80,,50.85,Insinger de Beaufort,2.54,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/12/2005,01/12/2005,2005,IPO,,UNIVISION ENGINEERING,New Company Placing,Hong Kong,253,Electronic & Electrical Equipment,Electronic Equipment,3,,9.39,Insinger de Beaufort,1.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,15/12/2005,01/12/2005,2005,IPO,,NOVOLIPETSK IRON AND STEEL CORP,International Offering (GDR),Russia,188,Steel & Other Metals,Steel,14.5,,353.29,,353.29,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,15/12/2005,01/12/2005,2005,IPO,,ENGEL EAST EUROPE N.V.,New Company Placing,Netherlands,862,Real Estate,Real Estate Holding & Development,108,,94.8,"Dawnay, Day Corporate Finance Limited",30,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,14/12/2005,01/12/2005,2005,IPO,,BRITVIC,International Offering (GDR),United Kingdom,418,Beverages,Soft Drinks,230,,494,,404.77,-,-,,,,,,,,,,,,,,,,,,,,,,,
